#{"t_start": 1689166072.05555, "env_id": "None"}
r,l,t
-14.998973,4,7.123173
-9.985537,4,7.125177
-14.959146,4,7.130215
-9.994056,8,7.135204
-9.996923,6,7.139252
-9.997858,4,7.142205
-9.993007,4,7.146858
-9.988916,3,7.148857
-14.998666,5,7.152858
-9.987827,4,7.155874
-9.993414,4,7.158975
-9.967985,3,7.161915
-9.999053,5,7.166148
-14.997792,4,7.168926
-14.940008,4,7.172926
-14.940008,5,7.177091
-14.993789,8,7.183078
-9.991482,5,7.187092
-9.999319,6,7.192124
-9.993523,6,7.197186
-9.993066,4,7.200219
-9.994949,3,7.202224
-14.999486,6,7.20748
-14.966405,8,7.213481
-9.99659,4,7.21648
-14.992836,4,7.21948
-9.967413,5,7.223481
-9.996001,8,7.228481
-9.967972,3,7.23148
-9.983151,4,7.233481
-9.997753,4,7.237516
-9.962313,4,7.240516
-14.96723,5,7.24514
-9.99939,6,7.249661
-14.992544,7,7.254657
-19.975419,6,7.259853
-9.976873,4,7.262856
-9.984087,3,7.264856
-9.992556,5,7.269373
-9.966263,4,7.272378
-9.995364,4,7.275379
-9.989019,6,7.280414
-9.992494,3,7.283387
-14.987724,4,7.28664
-14.989084,4,7.289642
-9.991951,6,7.293642
-9.97918,3,7.297499
-19.91541,7,7.3035
-14.988783,6,7.307499
-9.967985,3,7.309498
-9.998923,6,7.317502
-9.998687,5,7.324501
-9.996105,3,7.330501
-9.987831,6,7.340501
-9.997964,5,7.349503
-9.980247,4,7.355703
-9.998488,5,7.366697
-9.962476,3,7.371696
-9.988677,5,7.379035
-9.967984,3,7.382761
-9.976628,4,7.385967
-9.999474,3,7.387821
-9.967985,5,7.393137
-9.999757,3,7.397375
-9.973726,3,7.399374
-9.967985,3,7.401374
-9.967985,3,7.404374
-19.999245,5,7.41044
-9.967985,2,7.414539
-9.992795,3,7.417742
-9.977756,3,7.419861
-9.998426,3,7.424704
-9.967917,6,7.4337
-9.967985,2,7.435939
-9.959377,4,7.438945
-9.997897,3,7.441945
-9.980796,5,7.447311
-9.99464,4,7.450423
-9.967985,2,7.452485
-9.957225,5,7.457211
-9.994122,4,7.460141
-9.998524,6,7.46576
-9.988169,4,7.468767
-14.988069,6,7.472766
-14.997924,6,7.476805
-9.998723,3,7.480814
-14.972024,3,7.484972
-14.998568,4,7.488235
-14.967293,5,7.491804
-9.96784,3,7.494772
-9.996284,3,7.498017
-9.991487,4,7.501016
-14.994684,8,7.50772
-14.962483,6,7.511722
-9.999151,4,7.51649
-9.967918,4,7.518777
-9.998908,4,7.521775
-9.975377,3,7.523776
-9.967175,3,7.525776
-9.999345,3,7.52978
-9.999464,3,7.531777
-9.967985,3,7.534778
-9.963797,6,7.539375
-9.999321,6,7.542778
-9.967977,3,7.547381
-14.979704,6,7.551316
-9.984897,4,7.554314
-9.966777,4,7.557495
-9.98721,5,7.562499
-14.950211,6,7.567011
-1.445625,8,7.67889
-9.967985,2,7.680749
-14.975746,7,7.686769
-19.97607,4,7.689397
-14.999681,5,7.692398
-14.995956,4,7.697771
-9.997153,4,7.700802
-9.993941,3,7.703805
-9.998789,4,7.706816
-9.998315,4,7.708829
-9.99667,4,7.713847
-14.9703,6,7.718855
-14.999698,4,7.720888
-9.967985,3,7.722888
-9.998167,5,7.726892
-9.967817,4,7.732893
-14.995514,5,7.737217
-9.996777,3,7.739217
-9.970289,4,7.743217
-9.967984,3,7.745952
-9.970796,5,7.750962
-19.977017,7,7.757123
-9.960859,4,7.759123
-14.99857,5,7.765125
-9.961267,4,7.767636
-9.967492,5,7.770635
-9.993956,3,7.773635
-14.97294,5,7.778411
-9.967985,3,7.78137
-9.995299,3,7.783369
-9.967985,4,7.786818
-9.95174,5,7.790844
-9.997336,5,7.793931
-9.991671,4,7.799821
-9.991459,5,7.80282
-9.993344,3,7.805836
-9.967976,3,7.807833
-9.998942,4,7.811831
-9.996598,5,7.815873
-9.967474,5,7.819489
-14.993444,6,7.822933
-9.995499,3,7.827548
-9.967985,2,7.829549
-9.993968,4,7.833547
-9.977155,6,7.837504
-9.996441,4,7.839538
-9.996101,5,7.845725
-9.997352,5,7.849504
-9.967985,3,7.851504
-9.990471,5,7.854816
-9.980309,6,7.859793
-19.938996,7,7.865975
-9.992144,5,7.869718
-9.998178,3,7.871805
-13.285561,8,7.985839
-9.922925,5,7.990607
-9.998727,4,7.993606
-9.997009,3,7.997582
-9.996705,3,8.000501
-9.999393,3,8.003501
-9.999112,3,8.0065
-14.972024,4,8.0095
-9.958691,3,8.013501
-9.99891,4,8.017069
-9.960155,3,8.019079
-9.999889,4,8.022979
-9.996629,4,8.026096
-9.967985,3,8.030163
-9.997848,4,8.034292
-14.969778,5,8.037681
-9.964432,2,8.039681
-14.959036,4,8.042681
-14.995704,6,8.050681
-9.995352,3,8.053679
-9.991816,4,8.056767
-14.999382,5,8.062681
-9.967975,4,8.064677
-14.996751,6,8.069155
-9.998719,4,8.072155
-9.997319,5,8.075756
