Model Number,Reward,Mean Error,Max Error,Chosen Points
123,0.7994058161339433,0.08483283238011309,0.1800024895339436,[-1.25  5.5  8]
124,29.055053183141418,0.013109147249834403,0.048221786938906996,[-5.42  -2.84  -0.2599999999999998  2.3200000000000003  3.8000000000000003  5.28  8]
125,0.07098619960515891,0.10856015008299687,0.2749616282534123,[2.369999999999999  8]
126,0.2518087374169284,0.11767072211075404,0.21992630464452234,[-7.96  -7.92  -7.88  -7.84  -7.8  -7.76  -7.72  -7.68]
127,5.3420357973961075,0.04515419855842331,0.11077659078540786,[-3.5199999999999996  0.9600000000000009  5.440000000000001  8]
128,6.571047996051147,0.018358405827080315,0.10884776745471991,[-6.87  -5.74  -4.61  -3.4800000000000004  -2.3500000000000005  -1.2200000000000006  -0.09000000000000075  1.0399999999999991]
129,0.17449762128128177,0.08735960316583109,0.24278569733548183,[-7.3100000000000005  -6.620000000000001  -5.9300000000000015  -5.240000000000002  -4.5500000000000025  -3.8600000000000025  -3.1700000000000026  -2.4800000000000026]
130,10.890882472189626,0.0323715195942451,0.08429229581939379,[-4.33  -0.6600000000000001  3.01  6.68  7.9399999999999995  8]
131,0.23177483349591071,0.11588857018601821,0.22382615369783676,[-7.94  -7.880000000000001  -7.820000000000001  -7.760000000000002  -7.700000000000002  -7.640000000000002  -7.580000000000003  -7.520000000000003]
132,46.597454474153906,0.0065944021050485776,0.030169077447348203,[-5.6899999999999995  -3.3799999999999994  -1.0699999999999994  1.2400000000000007  3.5500000000000007  5.860000000000001  8]
133,25.268582824384488,0.015794811396959877,0.05336831163020539,[-5.16  -2.3200000000000003  0.5199999999999996  3.3599999999999994  6.199999999999999  6.579999999999999  6.959999999999999  7.339999999999999]
134,0.28800244972740346,0.0720134930038741,0.2257448133687202,[-7.67  -7.34  -7.01  -6.68  2.17  3.87  5.57  6.67]
135,1.5606366411757362,0.03876611996781047,0.16364498436889635,[-7.6  -7.199999999999999  -6.799999999999999  -6.399999999999999  -0.5499999999999989  -0.1499999999999989  5.700000000000001  5.720000000000001]
136,0.22591819277248457,0.11643919525456953,0.2247548891076461,[7.34  8]
137,0.10506626939186473,0.09991651558774504,0.2607847951376705,[5.27  8]
138,48.19746086655934,0.006272797369481179,0.028842794217469547,[-5.73  -3.4600000000000004  -1.1900000000000004  1.0799999999999996  3.3499999999999996  5.119999999999999  6.089999999999999  8]
139,0.20190255470100776,0.07698101383502104,0.23930225847594425,[-7.21  -6.42  -5.63  -4.84  -4.05  -3.26  -2.4699999999999998  -1.6799999999999997]
140,0.11206655654886208,0.10167751721453488,0.2576569754994539,[5.48  8]
141,0.5347771251086126,0.04184182578856519,0.20750101828008305,[-7.01  -6.02  -5.029999999999999  -4.039999999999999  -3.049999999999999  -2.0599999999999987  -1.0699999999999987  -0.07999999999999874]
142,49.613341034361305,0.006206185746427567,0.02765305422826214,[-5.71  -3.42  -1.13  1.1600000000000001  3.45  4.51  5.32  6.0]
143,0.19953824031172318,0.11415548547297448,0.23049944389209812,[7.039999999999999  8]
144,61.54590235296349,0.003218561805969352,0.019419814125818502,[-6.45  -4.9  -3.3500000000000005  -1.8000000000000005  -0.25000000000000044  1.2999999999999996  2.8499999999999996  4.3999999999999995]
145,0.19747489223350223,0.12076292914225502,0.22928068507452484,[0.4299999999999997  8]
146,26.91729852179866,0.014578398313013888,0.05103877701903356,[-5.359999999999999  -2.7199999999999993  -0.07999999999999918  2.560000000000001  5.200000000000001  8]
147,0.0758583425145326,0.09643641044113489,0.27522663814872184,[3.99  8]
148,9.90936905361798,0.02474109875729093,0.09013512144901438,[-6.95  -5.9  -4.8500000000000005  -3.8000000000000007  -2.750000000000001  0.9499999999999993  4.6499999999999995  8]
149,0.07346665465832837,0.10993618957809359,0.2731865292643296,[2.1999999999999993  8]
150,0.11218737023788805,0.10017102526133327,0.25798870380725925,[-7.73  -7.460000000000001  -7.190000000000001  -6.920000000000002  -6.650000000000002  -6.380000000000003  -6.110000000000003  -5.840000000000003]
151,37.522762171504205,0.008734782996458187,0.03865890616406398,[-5.58  -3.16  -0.7400000000000002  1.6799999999999997  4.1  6.52  8]
152,16.594591008580608,0.014667511687293957,0.07117034651903076,[-6.62  -5.24  -3.8600000000000003  -2.4800000000000004  -1.1000000000000005  2.8499999999999996  4.2299999999999995  8]
153,33.01200223216364,0.007020373616959983,0.04442403103913173,[-6.74  -5.48  -4.220000000000001  -2.960000000000001  -1.7000000000000008  -0.44000000000000083  0.8199999999999992  2.079999999999999]
154,21.95244745979678,0.016139795507058664,0.059143865752296826,[-2.7699999999999996  2.460000000000001  7.690000000000001  8]
155,63.13161651618773,0.003156785590327414,0.018375323926891785,[-6.47  -4.9399999999999995  -3.4099999999999993  -1.8799999999999992  -0.3499999999999992  1.1800000000000008  2.710000000000001  4.240000000000001]
156,0.08298780586960111,0.09426792736215348,0.2720260092094927,[4.359999999999999  8]
157,0.17963564216172892,0.11214757027472524,0.235379560588611,[6.779999999999999  8]
158,57.80217307099229,0.00359597438911348,0.021940332012410635,[-6.34  -4.68  -3.0199999999999996  -1.3599999999999997  0.30000000000000027  1.9600000000000002  3.62  5.28]
159,0.2991741150254683,0.11977069776927567,0.21221981458121297,[-0.09999999999999964  7.800000000000001  8]
160,0.10730020569379455,0.10050564992549757,0.2597608749493864,[5.34  8]
161,58.50835226687556,0.003687694023639626,0.021411437666954414,[-6.29  -4.58  -2.87  -1.1600000000000001  0.5499999999999998  2.26  3.9699999999999998  5.68]
162,37.538864032872766,0.006637409101933568,0.03916537336896572,[-4.859999999999999  -1.7199999999999993  1.4200000000000008  3.4900000000000007  5.5600000000000005  5.750000000000001  5.890000000000001  6.03]
163,58.37388002439442,0.004258468855646011,0.021364618455284035,[-6.65  -5.300000000000001  -3.9500000000000006  -2.6000000000000005  -1.2500000000000004  0.09999999999999964  1.4499999999999997  2.8]
164,1.9076312443856986,0.06239384671366909,0.1493727008125143,[-1.71  4.58  8]
165,0.16344856962925333,0.08808576068368482,0.24532968828572121,[-7.32  -6.640000000000001  -5.960000000000001  -5.280000000000001  -4.600000000000001  -3.9200000000000013  -3.240000000000001  -2.560000000000001]
166,6.881359596844505,0.03444992262317329,0.1029022667502838,[-2.21  3.58  8]
167,55.747907956512954,0.004249102504195053,0.023284820282104324,[-6.17  -4.34  -2.51  -0.6799999999999997  1.1500000000000004  2.9800000000000004  4.16  5.34]
168,1.5661255583310267,0.03064928839458299,0.16552790348051294,[-6.95  -5.9  -4.8500000000000005  -3.8000000000000007  -2.750000000000001  -1.7000000000000008  -0.6500000000000008  0.39999999999999925]
169,33.720879503542356,0.010454842028945598,0.04268016326967505,[-5.51  -3.0199999999999996  -0.5299999999999994  1.9600000000000009  4.450000000000001  6.940000000000001  7.090000000000002  7.240000000000002]
170,0.11534857718570647,0.10242630896817007,0.25626704005729817,[5.57  8]
171,8.562172474351527,0.036770853472102585,0.09321629639455631,[-4.25  -0.5  3.25  7.0  8]
172,0.11218737023788805,0.10017102526133327,0.25798870380725925,[-7.73  -7.460000000000001  -7.190000000000001  -6.920000000000002  -6.650000000000002  -6.380000000000003  -6.110000000000003  -5.840000000000003]
173,35.17915078766485,0.009682955972923275,0.04110911875826251,[-5.54  -3.08  -0.6200000000000001  1.8399999999999999  4.3  6.76  8]
174,46.679926408026965,0.006555610119313831,0.03010509559897967,[-5.6899999999999995  -3.3799999999999994  -1.0699999999999994  1.2400000000000007  3.5500000000000007  5.860000000000001  6.360000000000001  6.4300000000000015]
175,62.29462790112271,0.0031867028291230194,0.018923949018933905,[-6.46  -4.92  -3.38  -1.8399999999999999  -0.2999999999999998  1.2400000000000002  2.7800000000000002  4.32]
176,0.0686903307128967,0.10661110808086965,0.2768187655708165,[2.6099999999999994  8]
177,0.16358183425074138,0.06285572016138244,0.2516032401493988,[-7.12  -6.24  -5.36  -4.48  -3.6000000000000005  -2.7200000000000006  -1.8400000000000007  -0.9600000000000007]
178,5.558901172118074,0.028208110777356025,0.11335504431279342,[-6.62  -5.24  -3.8600000000000003  -2.4800000000000004  -1.1000000000000005  3.9699999999999998  5.35  6.21]
179,0.1590776005822346,0.1097172423967432,0.241051244727201,[6.470000000000001  8]
180,0.15786431648006188,0.10765710074512388,0.24188528970293266,[-7.84  -7.68  -7.52  -7.359999999999999  -7.199999999999999  -7.039999999999999  -6.879999999999999  -6.719999999999999]
181,0.09460854766384437,0.11535864306943334,0.261292740780127,[1.4900000000000002  8]
182,0.19003111978857512,0.11323213489962781,0.23276436701928763,[6.92  8]
183,0.2521089593760037,0.11839089533184527,0.2196966133516736,[7.6  8]
184,36.7865513398834,0.009552819446598724,0.03928003931867888,[-4.8100000000000005  -1.6200000000000006  1.5699999999999994  4.76  7.949999999999999  8]
185,1.2996092976014486,0.03243126643703339,0.17285495451567778,[-6.96  -5.92  -4.88  -3.84  -2.8  -1.7599999999999998  -0.7199999999999998  0.3200000000000003]
186,3.2275154881002623,0.0503360078329927,0.13047672901963636,[-1.9299999999999997  4.140000000000001  8]
187,8.007857531063356,0.03557299632989666,0.09630453987417936,[-3.26  1.4800000000000004  6.220000000000001  8]
188,0.15602105260475993,0.06633747117137576,0.2527045703001293,[-7.14  -6.279999999999999  -5.419999999999999  -4.559999999999999  -3.699999999999999  -2.839999999999999  -1.979999999999999  -1.1199999999999992]
189,0.29674524978743333,0.12119991555980068,0.21220216440440678,[7.98  8]
190,0.11841474401630972,0.10308889161050057,0.25500828639355855,[5.65  8]
191,0.2553470982330653,0.11861450229815736,0.21910894425137054,[7.630000000000001  8]
192,5.894951785812033,0.03467554630021277,0.10929252304410011,[-0.6900000000000004  1.8899999999999997  4.47  6.56  8]
193,43.32507302859092,0.006660876803221469,0.033186391832049356,[-5.87  -3.74  -1.6100000000000003  0.5199999999999996  2.6499999999999995  4.779999999999999  8]
194,43.53751355936774,0.00546870521101627,0.03328062531620013,[-6.4399999999999995  -4.879999999999999  -3.319999999999999  -1.759999999999999  -0.19999999999999885  2.060000000000001  4.32  5.45]
195,0.28610778053896546,0.11770161403014598,0.21459779941375723,[-0.1900000000000004  7.619999999999999  7.869999999999999  8]
196,27.612067201118943,0.01400682388858791,0.05011984783555437,[-5.38  -2.76  -0.13999999999999968  2.4800000000000004  5.1000000000000005  6.08  6.08  6.08]
197,20.175989464210605,0.021013938543582886,0.06144138740409699,[-4.51  -1.0199999999999996  2.4700000000000006  8]
