#{"t_start": 1689179343.2585473, "env_id": "None"}
r,l,t
-9.997422,5,6.731225
-9.98322,5,6.736239
-14.995682,7,6.741226
-9.961974,8,6.747408
-9.974963,4,6.752224
-14.9597,3,6.754224
-14.989781,6,6.759224
-9.979054,2,6.761224
-9.997555,4,6.764223
-14.980509,3,6.767379
-9.978494,3,6.771433
-9.978712,3,6.774378
-14.996074,6,6.779184
-14.9597,3,6.783186
-9.974446,3,6.785192
-14.98342,6,6.790183
-9.994107,7,6.795182
-9.996554,4,6.800182
-9.977816,3,6.802181
-14.979772,5,6.806182
-9.998825,3,6.808184
-9.987001,4,6.812187
-9.97848,3,6.81532
-9.979,4,6.819211
-9.995696,4,6.822211
-14.95946,4,6.825212
-9.996965,5,6.829211
-9.984297,4,6.83321
-14.989235,6,6.838211
-9.985499,3,6.841211
-9.979812,3,6.844212
-9.974671,4,6.847354
-14.996867,7,6.852211
-9.99816,5,6.856211
-14.998342,5,6.860213
-14.995771,6,6.864828
-9.978374,3,6.868328
-9.949361,6,6.872328
-9.99743,3,6.875329
-9.978051,5,6.879328
-9.979054,2,6.880855
-9.995227,5,6.885326
-9.973549,4,6.888293
-9.997523,3,6.890369
-9.977092,6,6.895291
-14.980225,4,6.89865
-9.973375,7,6.903292
-14.986615,6,6.908354
-14.930233,5,6.912354
-9.976355,4,6.915368
-9.99657,7,6.92225
-9.979054,2,6.924252
-9.987323,3,6.927344
-9.978761,3,6.93025
-9.976885,4,6.934253
-9.991583,4,6.937625
-14.958421,4,6.94036
-9.978904,4,6.943361
-14.993277,6,6.948362
-9.979054,2,6.951363
-9.972845,4,6.954361
-9.997161,3,6.956302
-9.995857,3,6.959311
-9.978312,8,6.965314
-9.978553,3,6.968311
-9.980997,3,6.97031
-19.998545,5,6.974311
-14.996327,5,6.978311
-9.996517,4,6.982313
-9.997468,4,6.988505
-14.943144,5,6.992506
-14.976599,8,6.999508
-9.97857,3,7.001507
-9.997149,5,7.006505
-14.974451,5,7.012504
-9.958473,6,7.019035
-9.97716,3,7.021036
-9.969835,7,7.027036
-9.97832,3,7.031031
-9.991597,3,7.035065
-9.976115,4,7.038621
-14.981526,5,7.044587
-9.981098,3,7.047096
-9.997347,3,7.051099
-9.978601,4,7.055098
-9.982332,3,7.058102
-9.991491,5,7.064333
-19.945263,7,7.070411
-9.978874,3,7.072411
-14.9597,3,7.076414
-14.98111,4,7.079414
-9.979054,2,7.082413
-14.997643,6,7.087413
-9.992615,6,7.092415
-9.978041,4,7.096414
-9.983807,5,7.101413
-14.95253,4,7.104414
-14.990421,6,7.109415
-9.997241,3,7.112415
-9.956395,8,7.119402
-9.976215,3,7.121402
-9.981542,7,7.127928
-9.998879,3,7.130928
-1.778899,8,7.241272
-9.997274,4,7.243272
-9.959193,6,7.250275
-9.997057,3,7.252275
-14.955727,5,7.256357
-9.99749,5,7.261272
-9.984821,5,7.267275
-9.953794,4,7.270276
-9.944771,8,7.276274
-9.997879,3,7.280275
-24.996497,7,7.287274
-9.977836,4,7.291274
-14.960669,7,7.299246
-9.978689,5,7.303246
-14.953076,7,7.309243
-9.998986,3,7.313244
-9.974954,3,7.316271
-9.994399,4,7.321201
-9.998264,3,7.324201
-9.997543,3,7.328212
-9.986664,3,7.330203
-9.977248,4,7.334203
-9.971443,4,7.337205
