#{"t_start": 1689192164.2901304, "env_id": "None"}
r,l,t
-9.997801,3,6.749172
-9.989907,6,6.75317
-9.997281,4,6.755173
-24.997096,6,6.761242
-9.992856,5,6.764241
-9.995805,5,6.76824
-14.992084,6,6.77324
-9.994533,4,6.777258
-9.999237,4,6.780258
-9.99781,4,6.783258
-9.988375,6,6.787258
-9.99926,3,6.791262
-14.987802,6,6.796262
-14.98408,7,6.802262
-14.98367,5,6.807098
-9.997343,6,6.811845
-9.990612,5,6.814876
-9.994002,3,6.817142
-9.995049,3,6.818876
-9.99543,5,6.823843
-9.999288,2,6.82584
-14.998378,5,6.829872
-9.994013,3,6.831877
-9.985671,6,6.837054
-14.994232,5,6.839841
-9.999432,3,6.842781
-14.983015,7,6.847841
-9.995047,6,6.851842
-9.989139,5,6.855874
-9.998451,3,6.857875
-9.98422,7,6.863841
-9.995198,4,6.866976
-9.992523,6,6.871844
-9.995606,6,6.876544
-9.98995,4,6.879878
-14.993879,6,6.884841
-9.983646,5,6.888842
-9.994711,4,6.891841
-9.987144,5,6.895878
-9.998933,4,6.899875
-9.999288,2,6.900893
-14.995964,4,6.903875
-9.994907,4,6.906875
-9.995148,3,6.908881
-9.994629,3,6.911876
-9.996581,3,6.914869
-14.994779,4,6.918212
-14.993623,6,6.921213
-9.99433,4,6.924214
-9.999131,4,6.928256
-9.99414,3,6.931181
-9.99713,3,6.933181
-14.99344,6,6.938181
-9.996302,4,6.940181
-9.993997,5,6.945968
-9.996985,3,6.947917
-14.987026,4,6.950919
-9.990053,3,6.952917
-19.994014,5,6.955917
-9.995589,4,6.959885
-19.996012,7,6.964896
-9.992999,5,6.968886
-9.995029,4,6.971886
0.798546,8,7.085377
-14.995125,6,7.08989
-9.999125,4,7.092891
-9.994188,4,7.096954
-9.993497,5,7.101925
-14.994833,6,7.105925
-14.997287,6,7.110893
-9.995636,4,7.115636
-9.990954,5,7.120187
-14.998517,5,7.124186
-9.994251,3,7.126151
-9.996336,3,7.130155
-9.999288,2,7.132151
-9.997821,4,7.134151
-14.994562,4,7.137121
-9.999288,2,7.139129
-9.992327,4,7.142129
-9.993541,3,7.146231
-14.997669,4,7.149172
-14.98149,6,7.154171
-14.988664,4,7.157173
-9.989426,4,7.16217
-9.999294,5,7.166242
-9.996174,4,7.169097
-14.993983,5,7.173098
-9.992546,4,7.177853
-9.998054,4,7.180804
-9.996037,3,7.182804
-9.984817,6,7.187804
-14.985264,6,7.194897
-14.992557,8,7.199829
-14.995314,6,7.204913
-19.992633,7,7.210268
-14.998499,4,7.212975
-14.996387,5,7.217103
13.792914,8,7.317312
-14.990007,7,7.322336
-9.99908,4,7.324339
-14.993292,5,7.330076
-14.991194,6,7.333864
-9.98829,4,7.335866
-9.996724,4,7.338864
-9.977052,8,7.345051
-9.989333,4,7.347833
-9.999288,2,7.349833
-14.996477,4,7.352833
-14.997212,5,7.355833
-9.999195,3,7.357833
-9.997848,4,7.362222
-14.996639,4,7.364864
-14.997876,3,7.367866
-9.991401,5,7.370864
-9.984997,7,7.376752
-9.996836,4,7.37971
-19.991797,7,7.384631
-9.994531,4,7.387133
-9.995043,4,7.391085
-9.992245,5,7.395105
-9.999019,3,7.397175
-9.994181,5,7.400122
-9.995055,5,7.404122
-14.989238,4,7.407316
-9.995798,3,7.410351
-14.996904,4,7.413348
-14.994363,4,7.415348
-9.989961,4,7.418348
-9.999288,2,7.420413
-9.987104,5,9.363941
-9.993583,4,9.370941
-9.99502,3,9.377255
-9.992534,4,9.383253
-9.98662,6,9.388787
-19.995788,4,9.392789
-9.990122,5,9.400789
-9.993425,6,9.410224
-9.990666,5,9.417115
-14.987092,4,9.422039
-9.99032,4,9.427814
-9.994252,3,9.432921
-14.996835,5,9.440815
-9.992501,5,9.449814
-9.992826,3,9.453814
-9.987942,6,9.461815
-9.996085,4,9.467927
-9.989753,6,9.472927
-9.997079,4,9.478962
-14.992543,6,9.487081
-9.997103,3,9.491549
-9.990071,3,9.49703
-9.99429,3,9.501929
-9.991142,4,9.509004
-9.993745,3,9.514003
-14.99131,6,9.521031
-9.988737,6,9.530798
-9.99326,5,9.537041
-9.995647,4,9.544027
-9.997754,4,9.550231
-14.986224,7,9.560757
-9.99405,5,9.565752
-14.996205,4,9.569755
-9.99187,6,9.574755
0.152306,8,9.694694
-9.995292,4,9.697114
-9.992946,4,9.700035
-14.997876,3,9.702035
-9.990597,6,9.706035
-9.989901,4,9.710547
-9.989305,3,9.712548
-9.993549,5,9.716548
-9.997055,3,9.718548
-9.999256,3,9.720548
-24.992105,8,9.728959
-14.983832,5,9.732957
-9.999253,3,9.734957
-9.999356,2,9.735957
-9.997013,4,9.73996
-9.990011,5,9.74296
-9.998825,3,9.745959
-9.995085,4,9.748959
-9.993756,4,9.751959
-9.996289,4,9.755145
-14.994684,5,9.758963
-14.997876,3,9.761963
-9.988054,5,9.765963
-9.995505,4,9.770324
-9.996235,3,9.771963
-9.994198,3,9.774963
7.999715,8,9.878997
-9.984952,4,9.88196
-14.983451,7,9.885961
-14.99432,5,9.889961
-14.99643,6,9.89547
-9.995051,4,9.897988
-14.994661,6,9.901988
-9.98822,5,9.905988
-9.99909,4,9.910518
-9.997602,4,9.913509
-9.999225,3,9.915509
-9.997034,4,9.918509
-9.995815,3,9.92151
-14.994667,4,9.924507
-9.997966,3,9.927121
-14.995271,6,9.931985
-19.990613,7,9.935987
-9.999133,3,9.939031
-14.997679,5,9.942997
-9.997104,5,9.946217
-9.993016,6,9.950182
-9.991966,6,9.955183
-9.993433,4,9.958373
-9.985581,6,9.962372
-9.997981,4,9.965372
-14.995583,4,9.968372
-14.991392,6,9.973373
-14.990803,4,9.976178
-9.998902,5,9.980009
13.656836,8,10.087346
-14.998126,4,10.090381
-5.733037,8,10.201433
-9.994339,3,10.204412
-9.996125,5,10.20797
-9.999288,2,10.210526
-9.993277,5,10.213952
-9.99909,3,10.216948
-9.985805,6,10.220916
-9.996107,3,10.222915
-19.995536,6,10.227769
-9.996301,7,10.232768
-19.97109,7,10.238065
-9.996629,4,10.241064
-14.997704,4,10.244065
-9.992586,6,10.249621
-9.992295,4,10.252065
-9.992513,4,10.255065
-14.997311,5,10.259255
-9.998803,3,10.262237
-14.99441,6,10.268142
-9.994736,4,10.270098
-9.993936,3,10.2721
-9.996923,3,10.274094
-9.993331,5,10.279098
-9.993361,5,10.2831
-14.980591,5,10.287112
-9.99439,3,10.289097
-9.998313,4,10.292097
-9.992022,3,10.295065
-9.99609,3,10.299065
-9.989977,5,10.302098
-9.994266,3,10.305097
-9.99542,6,10.309818
-9.994172,4,10.31291
-9.997752,6,10.317851
-9.997755,3,10.319851
-14.99687,5,10.322851
-9.994001,3,10.324852
-19.99016,5,10.330817
-9.994496,6,10.334817
-9.995545,5,10.337878
-14.99401,5,10.340817
-9.993963,4,10.344819
-9.994754,3,10.346876
-9.995933,3,10.349873
-9.992534,4,10.351878
-9.99845,4,10.354881
-9.982968,6,10.360844
-9.995115,3,10.363879
-14.995291,4,10.366876
-14.998407,4,10.369877
-9.995913,4,10.372877
-9.984886,6,10.378844
-9.994198,4,10.381386
-9.995633,4,10.38439
-19.987564,8,10.390359
-9.99673,6,10.395921
-9.994862,5,10.398883
-9.9874,6,10.402882
-9.994331,3,10.405969
-9.990961,5,10.408719
-9.98724,4,10.412722
-9.992925,8,10.417729
-9.993463,3,10.42082
-9.994687,6,10.42573
-9.998849,3,10.428904
-9.990933,6,10.432798
-9.996843,3,10.434799
-9.996333,4,10.43894
-9.995233,3,10.440919
-9.990266,4,10.443919
-9.987525,6,10.449542
-14.989201,5,10.453512
-9.99889,4,10.456513
-9.999187,3,10.458513
-9.988493,3,10.462549
28.623243,8,10.567517
-9.982944,5,10.570515
-9.989326,3,10.572514
-9.996853,3,10.575644
-14.998791,5,10.580192
-9.997893,3,10.582194
-9.998899,6,10.586192
-9.997273,3,10.58919
-14.996519,7,10.597283
-9.996301,3,10.600285
-9.987488,4,10.603285
